                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.067,                 3.7814,                 3.7491,                0.00216,                0.02824,                0.00034,                  8e-05,                 5.1597,                 1067.9,                 35.069,             0.00047258,             0.00047258,             0.00047258
                      2,                 2.4698,                 2.9053,                 2.9943,                0.14702,                 0.4083,                0.19039,                0.04978,                 2.6956,                 2.3738,                 3.2343,             0.00090194,             0.00090194,             0.00090194
                      3,                 2.2082,                 2.3994,                 2.6755,                0.25226,                0.58294,                0.21668,                0.07603,                 1.9926,                 2.7156,                 2.5589,              0.0012841,              0.0012841,              0.0012841
                      4,                 1.9924,                 2.1318,                 2.4877,                0.31164,                0.41122,                0.30509,                0.11264,                 2.0476,                 2.1357,                 2.5784,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.8605,                 1.9522,                 2.3101,                0.24827,                0.55322,                0.24307,                0.08843,                 1.8634,                 3.0652,                 2.4228,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.7298,                 1.8316,                 2.1933,                0.38718,                0.60784,                0.43773,                0.19464,                 1.5786,                  1.933,                 2.1906,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.6303,                 1.7464,                 2.0699,                0.42479,                0.59256,                0.46406,                0.23542,                 1.4984,                 1.5551,                 2.0472,              0.0010046,              0.0010046,              0.0010046
                      8,                 1.5498,                 1.6277,                 2.0118,                0.47074,                0.64189,                0.54517,                0.27208,                 1.3993,                 1.5394,                 2.0046,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.4784,                 1.5554,                 1.9254,                0.45104,                0.67537,                0.51627,                0.26584,                 1.2887,                 1.5277,                  1.914,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.4292,                 1.5384,                 1.8771,                0.52307,                0.67519,                 0.6019,                0.34882,                 1.1478,                 1.3911,                 1.7195,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.2518,                 1.3282,                 1.8531,                0.59532,                0.68124,                0.62015,                0.36891,                 1.1747,                 1.2789,                 1.7226,             0.00072164,             0.00072164,             0.00072164
                     12,                 1.1591,                 1.2312,                 1.7589,                   0.57,                0.68968,                0.66294,                0.38013,                 1.1394,                  1.285,                 1.7127,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.0733,                 1.1965,                 1.6643,                0.62988,                0.68913,                0.69224,                0.45714,                0.96426,                  1.151,                 1.5208,             0.00058017,             0.00058017,             0.00058017
                     14,                 1.0304,                 1.1375,                 1.6192,                0.65522,                0.68309,                0.72506,                0.49979,                 0.9665,                 1.0784,                 1.5372,             0.00050944,             0.00050944,             0.00050944
                     15,                0.95923,                  1.066,                 1.5583,                0.56928,                0.77083,                0.74439,                0.53774,                0.93324,                  1.049,                 1.4613,              0.0004387,              0.0004387,              0.0004387
                     16,                0.92816,                 1.0019,                 1.5334,                 0.7136,                  0.772,                0.80582,                0.59692,                 0.9067,                0.96512,                 1.4273,             0.00036797,             0.00036797,             0.00036797
                     17,                0.89023,                0.96254,                  1.478,                0.71319,                0.81023,                0.80738,                0.60643,                 0.8504,                0.93229,                 1.3825,             0.00029723,             0.00029723,             0.00029723
                     18,                0.86368,                0.91126,                 1.4302,                0.76333,                0.79399,                0.85332,                0.62895,                 0.8973,                0.86151,                 1.3626,              0.0002265,              0.0002265,              0.0002265
                     19,                0.82558,                0.86943,                 1.4156,                0.79309,                0.82966,                0.88838,                 0.7016,                0.76432,                0.77101,                 1.3154,             0.00015576,             0.00015576,             0.00015576
                     20,                0.78674,                0.84058,                 1.3749,                0.78626,                0.81452,                0.89338,                 0.7163,                0.73193,                0.78661,                 1.2822,             8.5026e-05,             8.5026e-05,             8.5026e-05
